"GeneID","SRR390728","SRR390729","SRR390730","SRR390731"
"ENSG00000299539.1",0,0,0,0
"ENSG00000069424.16",1828,921,958,639
"ENSG00000116254.18",8,1,3,5
"ENSG00000285629.1",0,0,0,0
"ENSG00000116251.12",1014,223,477,191
"ENSG00000226944.2",0,0,0,0
"ENSG00000158286.14",9,1,0,0
"ENSG00000116237.17",252,959,317,187
"ENSG00000225077.4",24,1,0,10
"ENSG00000173673.9",0,0,0,0
"ENSG00000158292.8",43,61,2,27
"ENSG00000097021.22",456,478,120,64
"ENSG00000271746.1",4,0,0,0
"ENSG00000069812.12",0,0,0,0
"ENSG00000187017.18",6,0,0,4
"ENSG00000265392.1",0,0,0,0
"ENSG00000231868.1",0,0,0,0
"ENSG00000215788.12",17,0,3,0
"ENSG00000171680.24",31,0,2,13
"ENSG00000297749.1",0,0,0,0
"ENSG00000299237.1",0,0,0,0
"ENSG00000299253.1",0,0,0,0
"ENSG00000162408.12",272,507,279,373
"ENSG00000253022.1",0,1,0,0
"ENSG00000229519.2",8,9,19,6
"ENSG00000173662.21",0,0,0,0
"ENSG00000204859.14",158,209,201,157
"ENSG00000162413.17",87,97,206,58
"ENSG00000295286.1",1,0,2,0
"ENSG00000304810.1",0,0,0,0
"ENSG00000116273.7",259,309,106,177
"ENSG00000041988.17",58,28,28,32
"ENSG00000007923.18",434,537,453,395
"ENSG00000228750.8",1,0,0,0
"ENSG00000284744.1",0,4,0,0
"ENSG00000237436.2",1,6,0,0
"ENSG00000171735.21",136,449,295,132
"ENSG00000227950.1",0,1,0,1
"ENSG00000237365.1",0,0,0,0
"ENSG00000207056.1",0,0,0,0
"ENSG00000310450.1",0,0,0,0
"ENSG00000237402.2",0,0,2,0
"ENSG00000237728.3",0,0,0,0
"ENSG00000294314.1",0,0,0,0
"ENSG00000225126.2",0,3,0,0
"ENSG00000298973.1",0,0,0,0
"ENSG00000306883.1",0,0,0,0
"ENSG00000302704.1",0,0,0,0
"ENSG00000270171.1",0,0,0,0
"ENSG00000270035.1",0,0,0,0
"ENSG00000269978.2",1,0,0,0
"ENSG00000300603.1",0,0,0,0
"ENSG00000049245.13",245,163,112,159
"ENSG00000269925.1",10,6,3,3
"ENSG00000049246.16",95,24,0,58
"ENSG00000236266.2",4,0,0,1
"ENSG00000049247.14",0,0,0,0
"ENSG00000302605.1",0,0,0,0
"ENSG00000049249.11",0,1,0,2
"ENSG00000270330.1",0,0,0,0
"ENSG00000116288.14",703,695,1286,695
"ENSG00000299004.1",2,1,3,2
"ENSG00000200344.1",1,4,0,1
"ENSG00000284747.1",11,9,0,9
"ENSG00000284716.1",0,0,2,1
"ENSG00000116285.14",0,2,0,1
"ENSG00000238290.2",0,0,0,0
"ENSG00000232848.1",1,1,7,1
"ENSG00000301325.1",0,0,0,0
"ENSG00000227634.4",0,1,0,0
"ENSG00000229305.1",0,0,0,0
"ENSG00000301344.1",0,0,0,0
"ENSG00000200975.1",0,0,0,0
"ENSG00000233645.1",0,0,0,0
"ENSG00000298156.1",1,0,0,0
"ENSG00000301025.1",0,0,0,0
"ENSG00000301006.1",0,0,0,0
"ENSG00000251977.1",0,0,0,0
"ENSG00000162426.17",0,2,2,0
"ENSG00000252254.1",0,0,0,0
"ENSG00000142599.21",2904,2721,662,1680
"ENSG00000232912.6",2,8,1,6
"ENSG00000221083.1",1,0,0,1
"ENSG00000270282.1",0,1,0,0
"ENSG00000234619.1",3,3,2,3
"ENSG00000224315.2",2,3,2,2
"ENSG00000303676.1",2,7,1,0
"ENSG00000222511.2",2,0,1,0
"ENSG00000226545.1",2,0,1,4
"ENSG00000228423.2",2,0,1,1
"ENSG00000229716.2",0,0,1,0
"ENSG00000074800.17",11266,15676,9330,10952
"ENSG00000274258.1",1,0,1,1
"ENSG00000230679.2",4,5,0,7
"ENSG00000201725.1",0,0,0,0
"ENSG00000238249.2",0,15,6,11
"ENSG00000310107.1",1,0,1,0
"ENSG00000232208.2",0,0,0,0
"ENSG00000232663.2",0,0,0,0
"ENSG00000310124.1",0,0,0,0
"ENSG00000131686.15",0,0,0,0
"ENSG00000290109.2",0,0,0,0
"ENSG00000265141.2",0,0,0,0
"ENSG00000197241.4",1,0,0,0
"ENSG00000142583.19",712,11,32,178
"ENSG00000252404.1",0,0,0,0
"ENSG00000180758.13",20,4,1,0
"ENSG00000228526.9",0,0,86,0
"ENSG00000284357.1",0,0,0,0
"ENSG00000289914.2",0,0,3,0
"ENSG00000302015.1",0,0,2,0
"ENSG00000234546.6",1,0,5,0
"ENSG00000301983.1",0,0,0,0
